initial_point_key,starting_point,objective_value_20260310,cpu_time_s_20260310,termination_condition_20260310,feasible_20260310,objective_value_20260310_preprocess_on,cpu_time_s_20260310_preprocess_on,termination_condition_20260310_preprocess_on,feasible_20260310_preprocess_on
1,"(13, 4)",19346.12480109944,37.16528752539307,optimal,True,19346.12480109944,72.0797759545967,optimal,True
2,"(13, 3)",19346.12480109944,28.44728058297187,optimal,True,19346.12480109944,66.65304268337786,optimal,True
3,"(12, 4)",19346.12480109944,49.065846868790686,optimal,True,19346.12480109944,79.42436270974576,optimal,True
4,"(14, 4)",19346.12480109944,43.89535744301975,optimal,True,19346.12480109944,80.62031104136258,optimal,True
5,"(13, 5)",19346.12480109944,67.1993755158037,optimal,True,19346.12480109944,97.71642344538122,optimal,True
6,"(12, 3)",19346.12480109944,56.51310322154313,optimal,True,19346.12480109944,91.32384096365422,optimal,True
7,"(14, 3)",19346.12480109944,29.284772383980453,optimal,True,19346.12480109944,69.13944994658232,optimal,True
8,"(12, 5)",19346.12480109944,53.80890333186835,optimal,True,19346.12480109944,92.03293934464456,optimal,True
9,"(14, 5)",19346.12480109944,65.1884249933064,optimal,True,19346.12480109944,99.18569630384444,optimal,True
10,"(13, 2)",19449.85151196701,29.34197233058512,optimal,True,19449.85151196701,68.88629504293203,optimal,True
11,"(11, 4)",19346.12480109944,53.74501759838313,optimal,True,19346.12480109944,91.16363340150563,optimal,True
12,"(15, 4)",19740.340832308204,19.966549411416054,optimal,True,19740.340832308204,45.53003177978098,optimal,True
13,"(13, 6)",19346.12480109944,59.85071244183928,optimal,True,19346.12480109944,97.91795352101326,optimal,True
14,"(12, 2)",19346.12480109944,68.53158467821777,optimal,True,19346.12480109944,103.89424505550414,optimal,True
15,"(14, 2)",19346.12480109944,41.99290360324085,optimal,True,19346.12480109944,81.7026020437479,optimal,True
16,"(11, 3)",19346.12480109944,65.1230424232781,optimal,True,19346.12480109944,94.24473101086916,optimal,True
17,"(15, 3)",19346.12480109944,33.07159047015011,optimal,True,19346.12480109944,61.3041269890964,optimal,True
18,"(11, 5)",19346.12480109944,62.84534402471036,optimal,True,19346.12480109944,90.61472331080586,optimal,True
19,"(15, 5)",19740.340832308204,28.322469679638743,optimal,True,19740.340832308204,51.09782445803285,optimal,True
20,"(12, 6)",19346.12480109944,57.82397786807269,optimal,True,19346.12480109944,90.77682055253536,optimal,True
21,"(14, 6)",19346.12480109944,68.19576332066208,optimal,True,19346.12480109944,101.5093898959458,optimal,True
22,"(11, 2)",19346.12480109944,57.61489361338317,optimal,True,19346.12480109944,90.96337015461177,optimal,True
23,"(15, 2)",19346.12480109944,35.83654394932091,optimal,True,19346.12480109944,61.98038979340345,optimal,True
24,"(11, 6)",19346.12480109944,73.26199497282505,optimal,True,19346.12480109944,88.68731414433569,optimal,True
25,"(15, 6)",19740.340832308204,40.933458583429456,optimal,True,19740.340832308204,65.47355232201517,optimal,True
