initial_point_key,starting_point,objective_value_20260310,cpu_time_s_20260310,termination_condition_20260310,feasible_20260310,objective_value_20260310_preprocess_on,cpu_time_s_20260310_preprocess_on,termination_condition_20260310_preprocess_on,feasible_20260310_preprocess_on
1,"(13, 4)",19346.12480109944,23.4375366801396,locallyOptimal,True,19346.12480109944,104.79709027055652,locallyOptimal,True
2,"(13, 3)",19346.12480109944,32.71508972533047,locallyOptimal,True,19346.12480109944,121.58500076364726,locallyOptimal,True
3,"(12, 4)",19346.12480109944,28.176234951242805,locallyOptimal,True,19346.12480109944,110.32207799889149,locallyOptimal,True
4,"(14, 4)",19346.12480109944,30.4744688635692,locallyOptimal,True,19346.12480109944,135.65004430618137,locallyOptimal,True
5,"(13, 5)",19346.12480109944,28.25435433164239,locallyOptimal,True,19346.12480109944,130.28305763937533,locallyOptimal,True
6,"(12, 3)",19346.12480109944,35.60168753378093,locallyOptimal,True,19346.12480109944,117.26944645307958,locallyOptimal,True
7,"(14, 3)",19346.12480109944,38.07904610969126,locallyOptimal,True,19346.12480109944,140.2483242759481,locallyOptimal,True
8,"(12, 5)",19346.12480109944,31.08043770119548,locallyOptimal,True,19346.12480109944,133.12823977973312,locallyOptimal,True
9,"(14, 5)",19346.12480109944,35.51301771681756,locallyOptimal,True,19346.12480109944,170.87309820577502,locallyOptimal,True
10,"(13, 2)",19346.12480109944,47.53509113099426,locallyOptimal,True,19346.12480109944,123.79870582465082,locallyOptimal,True
11,"(11, 4)",19346.12480109944,41.59775809105486,locallyOptimal,True,19346.12480109944,125.923887941055,locallyOptimal,True
12,"(15, 4)",19346.12480109944,30.93367163743824,locallyOptimal,True,19346.12480109944,128.79847225919366,locallyOptimal,True
13,"(13, 6)",19346.12480109944,32.56229311134666,locallyOptimal,True,19346.12480109944,152.40756531618536,locallyOptimal,True
14,"(12, 2)",19346.12480109944,43.56647891364992,locallyOptimal,True,19346.12480109944,105.0993942534551,locallyOptimal,True
15,"(14, 2)",19346.12480109944,45.75715192500502,locallyOptimal,True,19346.12480109944,135.05340295098722,locallyOptimal,True
16,"(11, 3)",19346.12480109944,41.64321527723223,locallyOptimal,True,19346.12480109944,187.12009782344103,locallyOptimal,True
17,"(15, 3)",19346.12480109944,37.17245470453054,locallyOptimal,True,19346.12480109944,148.17001344263554,locallyOptimal,True
18,"(11, 5)",19346.12480109944,40.23506516963244,locallyOptimal,True,19346.12480109944,138.92645081598312,locallyOptimal,True
19,"(15, 5)",19346.12480109944,42.78077523224056,locallyOptimal,True,19346.12480109944,132.47555794660002,locallyOptimal,True
20,"(12, 6)",19346.12480109944,38.27750450372696,locallyOptimal,True,19346.12480109944,135.79207654390484,locallyOptimal,True
21,"(14, 6)",19346.12480109944,43.75820208992809,locallyOptimal,True,19346.12480109944,193.32110160589215,locallyOptimal,True
22,"(11, 2)",19346.12480109944,40.2002307837829,locallyOptimal,True,19346.12480109944,89.23175709415227,locallyOptimal,True
23,"(15, 2)",19346.12480109944,37.89476779382676,locallyOptimal,True,19346.12480109944,124.22810861933976,locallyOptimal,True
24,"(11, 6)",19346.12480109944,29.148814817890525,locallyOptimal,True,19346.12480109944,137.54298145882785,locallyOptimal,True
25,"(15, 6)",19346.12480109944,34.66202211380005,locallyOptimal,True,19346.12480109944,160.7548184050247,locallyOptimal,True
26,"(13, 1)",19346.12480109944,50.577969391830266,locallyOptimal,True,19346.12480109944,118.6843283334747,locallyOptimal,True
27,"(10, 4)",19346.12480109944,51.03585467021912,locallyOptimal,True,19346.12480109944,132.92005247808993,locallyOptimal,True
28,"(13, 7)",19346.12480109944,52.66077295690775,locallyOptimal,True,19346.12480109944,162.00110560003668,locallyOptimal,True
29,"(12, 1)",19346.12480109944,42.0576680554077,locallyOptimal,True,19346.12480109944,101.56512738764286,locallyOptimal,True
30,"(14, 1)",19346.12480109944,51.19904420431703,locallyOptimal,True,19346.12480109944,139.1587548777461,locallyOptimal,True
31,"(10, 3)",19346.12480109944,47.03525180462748,locallyOptimal,True,19346.12480109944,110.54460979811849,locallyOptimal,True
32,"(10, 5)",19346.12480109944,41.39012578316033,locallyOptimal,True,19346.12480109944,129.20388912782073,locallyOptimal,True
33,"(12, 7)",19346.12480109944,43.03873113356531,locallyOptimal,True,19346.12480109944,155.1980410469696,locallyOptimal,True
34,"(14, 7)",19346.12480109944,46.08551695663482,locallyOptimal,True,19346.12480109944,149.15778882149607,locallyOptimal,True
35,"(11, 1)",19346.12480109944,43.48318777605891,locallyOptimal,True,19346.12480109944,150.78676213417202,locallyOptimal,True
36,"(15, 1)",19346.12480109944,42.87444013636559,locallyOptimal,True,19346.12480109944,128.4091360513121,locallyOptimal,True
37,"(10, 2)",19346.12480109944,47.539340428076684,locallyOptimal,True,19346.12480109944,118.606598848477,locallyOptimal,True
38,"(10, 6)",19346.12480109944,98.80066163185984,locallyOptimal,True,,7.00928916875273,unknown,False
39,"(11, 7)",,85.80067025404423,locallyOptimal,False,,7.088480505160987,unknown,False
40,"(15, 7)",19346.12480109944,42.91175743285567,locallyOptimal,True,19346.12480109944,133.93755153473467,locallyOptimal,True
41,"(9, 4)",,62.95849941112101,locallyOptimal,False,19346.12480109944,114.4342780355364,locallyOptimal,True
42,"(13, 8)",19346.12480109944,48.85519969370216,locallyOptimal,True,19346.12480109944,148.56329591292888,locallyOptimal,True
43,"(9, 3)",19346.12480109944,52.55751596298069,locallyOptimal,True,19346.12480109944,155.96834938134998,locallyOptimal,True
44,"(9, 5)",,85.02212894521654,locallyOptimal,False,,7.102482056245208,unknown,False
45,"(12, 8)",19346.12480109944,112.06117246113718,locallyOptimal,True,,7.061022376641631,unknown,False
46,"(14, 8)",19346.12480109944,59.50981280300766,locallyOptimal,True,19346.12480109944,139.24006134737283,locallyOptimal,True
47,"(10, 1)",19346.12480109944,36.79329089820385,locallyOptimal,True,19346.12480109944,147.62715830747038,locallyOptimal,True
48,"(10, 7)",,46.50560781080276,locallyOptimal,False,,7.026677964255214,unknown,False
49,"(9, 2)",19346.12480109944,63.389775841496885,locallyOptimal,True,19346.12480109944,150.36648574005812,locallyOptimal,True
50,"(9, 6)",,52.274513577111065,locallyOptimal,False,,7.061130420304835,unknown,False
51,"(11, 8)",,58.43863093666732,locallyOptimal,False,,6.989940108731389,unknown,False
52,"(15, 8)",19346.12480109944,44.73847288545221,locallyOptimal,True,19346.12480109944,158.95739819668233,locallyOptimal,True
53,"(9, 1)",19346.12480109944,45.24406406003982,locallyOptimal,True,19346.12480109944,127.14865760877728,locallyOptimal,True
54,"(9, 7)",,77.94981409609318,locallyOptimal,False,,6.985089170746505,unknown,False
55,"(10, 8)",19346.12480109944,107.4495916897431,locallyOptimal,True,,7.004302577115595,unknown,False
56,"(13, 9)",,90.66755293682218,locallyOptimal,False,,6.951709580607712,unknown,False
57,"(12, 9)",,62.38309394940734,locallyOptimal,False,,13.82493928167969,unknown,False
58,"(14, 9)",,68.72350207716227,locallyOptimal,False,19346.12480109944,162.2070657927543,locallyOptimal,True
59,"(11, 9)",,85.36735784541816,locallyOptimal,False,,7.021316570229828,unknown,False
60,"(15, 9)",,101.31170930434018,locallyOptimal,False,,147.67503579892218,unknown,False
61,"(9, 8)",,49.10018180496991,locallyOptimal,False,,14.329686884768307,unknown,False
62,"(10, 9)",,52.231688506901264,locallyOptimal,False,,6.932281078770757,unknown,False
63,"(9, 9)",,79.35928424354643,locallyOptimal,False,,6.964842562563717,unknown,False
