initial_point_key,starting_point,objective_value_20260310,cpu_time_s_20260310,termination_condition_20260310,feasible_20260310,objective_value_20260311_ngcut_conopt,cpu_time_s_20260311_ngcut_conopt,termination_condition_20260311_ngcut_conopt,feasible_20260311_ngcut_conopt
1,"(13, 4)",19346.12480109944,37.16528752539307,optimal,True,19346.12480109944,37.30916060414165,optimal,True
2,"(13, 3)",19346.12480109944,28.44728058297187,optimal,True,19346.12480109944,29.267362153157592,optimal,True
3,"(12, 4)",19346.12480109944,49.065846868790686,optimal,True,19346.12480109944,50.15214945655316,optimal,True
4,"(14, 4)",19346.12480109944,43.89535744301975,optimal,True,19346.12480109944,44.90035053808242,optimal,True
5,"(13, 5)",19346.12480109944,67.1993755158037,optimal,True,19346.12480109944,68.10875082574785,optimal,True
6,"(12, 3)",19346.12480109944,56.51310322154313,optimal,True,19346.12480109944,57.30243733525276,optimal,True
7,"(14, 3)",19346.12480109944,29.284772383980453,optimal,True,19346.12480109944,29.723164670169357,optimal,True
8,"(12, 5)",19346.12480109944,53.80890333186835,optimal,True,19346.12480109944,53.02100688312203,optimal,True
9,"(14, 5)",19346.12480109944,65.1884249933064,optimal,True,19346.12480109944,67.43505019973963,optimal,True
10,"(13, 2)",19449.85151196701,29.34197233058512,optimal,True,19449.85151196701,29.76494969241321,optimal,True
11,"(11, 4)",19346.12480109944,53.74501759838313,optimal,True,19346.12480109944,54.37718100938946,optimal,True
12,"(15, 4)",19740.340832308204,19.966549411416054,optimal,True,19740.340832308204,20.498171574436128,optimal,True
13,"(13, 6)",19346.12480109944,59.85071244183928,optimal,True,19346.12480109944,60.25995914172381,optimal,True
14,"(12, 2)",19346.12480109944,68.53158467821777,optimal,True,19346.12480109944,69.04194140341133,optimal,True
15,"(14, 2)",19346.12480109944,41.99290360324085,optimal,True,19346.12480109944,42.00851573236287,optimal,True
16,"(11, 3)",19346.12480109944,65.1230424232781,optimal,True,19346.12480109944,65.42332069948316,optimal,True
17,"(15, 3)",19346.12480109944,33.07159047015011,optimal,True,19346.12480109944,33.838152579031885,optimal,True
18,"(11, 5)",19346.12480109944,62.84534402471036,optimal,True,19346.12480109944,63.63244649209082,optimal,True
19,"(15, 5)",19740.340832308204,28.322469679638743,optimal,True,19740.340832308204,28.88984787929803,optimal,True
20,"(12, 6)",19346.12480109944,57.82397786807269,optimal,True,19346.12480109944,58.673773034475744,optimal,True
21,"(14, 6)",19346.12480109944,68.19576332066208,optimal,True,19346.12480109944,69.24928899109364,optimal,True
22,"(11, 2)",19346.12480109944,57.61489361338317,optimal,True,19346.12480109944,58.64412963297218,optimal,True
23,"(15, 2)",19346.12480109944,35.83654394932091,optimal,True,19346.12480109944,36.44701347965747,optimal,True
24,"(11, 6)",19346.12480109944,73.26199497282505,optimal,True,19346.12480109944,72.51525885425508,optimal,True
25,"(15, 6)",19740.340832308204,40.933458583429456,optimal,True,19740.340832308204,39.20068278256804,optimal,True
26,"(13, 1)",19449.85151196701,30.402522929012772,optimal,True,19449.85151196701,31.93666065204889,optimal,True
27,"(10, 4)",19853.73216380374,29.67068856395781,optimal,True,19853.73216380374,30.49865328334272,optimal,True
28,"(13, 7)",19346.12480109944,66.71840014774352,optimal,True,19346.12480109944,67.73131552711129,optimal,True
29,"(12, 1)",19346.12480109944,61.16681649629027,optimal,True,19346.12480109944,60.05267078615725,optimal,True
30,"(14, 1)",19449.85151196701,33.50024839770049,optimal,True,19449.85151196701,36.10633403155953,optimal,True
31,"(10, 3)",19548.719331288536,32.626001006923616,optimal,True,19548.719331288536,32.61217575147748,optimal,True
32,"(10, 5)",19346.12480109944,51.62575266603381,optimal,True,19346.12480109944,51.42709874548018,optimal,True
33,"(12, 7)",19346.12480109944,69.79280731640756,optimal,True,19346.12480109944,71.11799972038716,optimal,True
34,"(14, 7)",19853.73216380374,32.241331472061574,optimal,True,19853.73216380374,33.944371888414025,optimal,True
35,"(11, 1)",19853.73216380374,25.81487693544477,optimal,True,19853.73216380374,29.36977448500693,optimal,True
36,"(15, 1)",19346.12480109944,40.63204546365887,optimal,True,19346.12480109944,44.10711091384292,optimal,True
37,"(10, 2)",19449.85151196701,49.00660084281117,optimal,True,19449.85151196701,49.83417188376188,optimal,True
38,"(10, 6)",19346.12480109944,79.29323145467788,optimal,True,19346.12480109944,81.2566523309797,optimal,True
39,"(11, 7)",19346.12480109944,81.06169334892184,optimal,True,19346.12480109944,82.44426888693124,optimal,True
40,"(15, 7)",19346.12480109944,59.704120946116745,optimal,True,19346.12480109944,61.2194615341723,optimal,True
41,"(9, 4)",19548.719331288536,28.49819938931614,optimal,True,19548.719331288536,28.45470690075308,optimal,True
42,"(13, 8)",19346.12480109944,87.56021453626454,optimal,True,19346.12480109944,87.78672391269356,optimal,True
43,"(9, 3)",19548.719331288536,31.71786637790501,optimal,True,19548.719331288536,28.58157171215862,optimal,True
44,"(9, 5)",19346.12480109944,72.5993140283972,optimal,True,19346.12480109944,73.99049787130207,optimal,True
45,"(12, 8)",19346.12480109944,81.8509406382218,optimal,True,19346.12480109944,82.76184039004147,optimal,True
46,"(14, 8)",19346.12480109944,75.22632313612849,optimal,True,19346.12480109944,76.35367017239332,optimal,True
47,"(10, 1)",19853.73216380374,41.54921018797904,optimal,True,19853.73216380374,34.82910974603146,optimal,True
48,"(10, 7)",19346.12480109944,74.77573473844677,optimal,True,19346.12480109944,79.55791567545384,optimal,True
49,"(9, 2)",19346.12480109944,70.20418730285019,optimal,True,19346.12480109944,70.6874881926924,optimal,True
50,"(9, 6)",19346.12480109944,81.67062133178115,optimal,True,19346.12480109944,87.76569756027311,optimal,True
51,"(11, 8)",19346.12480109944,69.20011355169117,optimal,True,19346.12480109944,70.3075648676604,optimal,True
52,"(15, 8)",19346.12480109944,71.4058801708743,optimal,True,19346.12480109944,72.29049449879676,optimal,True
53,"(9, 1)",,3.439311674796045,optimal,False,20701.29307578024,24.388329510577023,optimal,True
54,"(9, 7)",19346.12480109944,73.13266060966998,optimal,True,19346.12480109944,70.11224642582238,optimal,True
55,"(10, 8)",19346.12480109944,61.58733604289591,optimal,True,19346.12480109944,63.47136555425823,optimal,True
56,"(13, 9)",19346.12480109944,64.19329603295773,optimal,True,19346.12480109944,69.67974159587175,optimal,True
57,"(12, 9)",19346.12480109944,69.22629235871136,optimal,True,19346.12480109944,75.1356116142124,optimal,True
58,"(14, 9)",19346.12480109944,75.1082562385127,optimal,True,19346.12480109944,70.01758848596364,optimal,True
59,"(11, 9)",19346.12480109944,69.97032644599676,optimal,True,19346.12480109944,75.39884757995605,optimal,True
60,"(15, 9)",19346.12480109944,75.4588337475434,optimal,True,19346.12480109944,83.66002735495567,optimal,True
61,"(9, 8)",19346.12480109944,67.69147854018956,optimal,True,19346.12480109944,63.67972644977272,optimal,True
62,"(10, 9)",19346.12480109944,69.10640605632216,optimal,True,19346.12480109944,74.94560692086816,optimal,True
63,"(9, 9)",,1.6801185952499509,optimal,False,19548.719331288536,54.3756479145959,optimal,True
