initial_point_key,starting_point,objective_value_20260311_ngcut_conopt,cpu_time_s_20260311_ngcut_conopt,termination_condition_20260311_ngcut_conopt,feasible_20260311_ngcut_conopt,objective_value_20260311_ngcut_ipopt,cpu_time_s_20260311_ngcut_ipopt,termination_condition_20260311_ngcut_ipopt,feasible_20260311_ngcut_ipopt
1,"(13, 4)",19346.12480109944,37.30916060414165,optimal,True,19346.124748130627,33.5919207027182,optimal,True
2,"(13, 3)",19346.12480109944,29.267362153157592,optimal,True,19346.124748130627,23.650296634994447,optimal,True
3,"(12, 4)",19346.12480109944,50.15214945655316,optimal,True,19346.124748130627,47.34857140481472,optimal,True
4,"(14, 4)",19346.12480109944,44.90035053808242,optimal,True,19346.124748130627,37.61821909341961,optimal,True
5,"(13, 5)",19346.12480109944,68.10875082574785,optimal,True,19346.124748130627,64.70441587548703,optimal,True
6,"(12, 3)",19346.12480109944,57.30243733525276,optimal,True,19346.124748130627,54.00310030765832,optimal,True
7,"(14, 3)",19346.12480109944,29.723164670169357,optimal,True,19346.124748130627,23.69842697493732,optimal,True
8,"(12, 5)",19346.12480109944,53.02100688312203,optimal,True,19346.124748130627,50.65255726315081,optimal,True
9,"(14, 5)",19346.12480109944,67.43505019973963,optimal,True,19346.124748130627,61.42629005666822,optimal,True
10,"(13, 2)",19449.85151196701,29.76494969241321,optimal,True,19449.851511657434,23.7871036529541,optimal,True
11,"(11, 4)",19346.12480109944,54.37718100938946,optimal,True,19346.124748130627,52.04068121034652,optimal,True
12,"(15, 4)",19740.340832308204,20.498171574436128,optimal,True,19740.34083216036,18.550613846629854,optimal,True
13,"(13, 6)",19346.12480109944,60.25995914172381,optimal,True,19346.124748130627,58.07647804636508,optimal,True
14,"(12, 2)",19346.12480109944,69.04194140341133,optimal,True,19346.124748130627,66.60708902031183,optimal,True
15,"(14, 2)",19346.12480109944,42.00851573236287,optimal,True,19346.124748130627,35.46156006399542,optimal,True
16,"(11, 3)",19346.12480109944,65.42332069948316,optimal,True,19346.124748130627,61.00059840176255,optimal,True
17,"(15, 3)",19346.12480109944,33.838152579031885,optimal,True,19346.124748130627,29.42129043955356,optimal,True
18,"(11, 5)",19346.12480109944,63.63244649209082,optimal,True,19346.124748130627,59.22908327169717,optimal,True
19,"(15, 5)",19740.340832308204,28.88984787929803,optimal,True,19740.34083216036,26.014222268015143,optimal,True
20,"(12, 6)",19346.12480109944,58.673773034475744,optimal,True,19346.124748130627,54.41340213082731,optimal,True
21,"(14, 6)",19346.12480109944,69.24928899109364,optimal,True,19346.124748130627,65.38436561543494,optimal,True
22,"(11, 2)",19346.12480109944,58.64412963297218,optimal,True,19346.124748130627,55.9558084262535,optimal,True
23,"(15, 2)",19346.12480109944,36.44701347965747,optimal,True,19346.124748130627,29.958837968297303,optimal,True
24,"(11, 6)",19346.12480109944,72.51525885425508,optimal,True,19346.124748130627,70.36088227760047,optimal,True
25,"(15, 6)",19740.340832308204,39.20068278256804,optimal,True,19740.34083216036,36.01791331265122,optimal,True
26,"(13, 1)",19449.85151196701,31.93666065204889,optimal,True,19449.851511657434,29.87845480814576,optimal,True
27,"(10, 4)",19853.73216380374,30.49865328334272,optimal,True,19853.732163455534,26.72885610163212,optimal,True
28,"(13, 7)",19346.12480109944,67.73131552711129,optimal,True,19346.124748130627,60.716965049505234,optimal,True
