iteration,anchor,anchor_e1,anchor_e2,sep_obj,alpha,p_0,p_1
1,"(5, 1)",5,1,-0.5423670000000002,-0.7392253333333332,0.09657166666666661,-0.28600000000000003
2,"(5, 1)",5,1,-0.5423670000000002,-0.7392253333333332,0.09657166666666661,-0.28600000000000003
2,"(1, 5)",1,5,-0.6602096666666667,-1.3684193333333332,-0.09979033333333331,0.16159999999999997
3,"(5, 1)",5,1,-0.5423670000000002,-0.7392253333333332,0.09657166666666661,-0.28600000000000003
3,"(1, 5)",1,5,-0.6602096666666667,-1.3684193333333332,-0.09979033333333331,0.16159999999999997
3,"(5, 4)",5,4,-0.758367,-1.8232253333333337,0.12657166666666675,0.10799999999999998
4,"(5, 1)",5,1,-0.5423670000000002,-0.7392253333333332,0.09657166666666661,-0.28600000000000003
4,"(1, 5)",1,5,-0.6602096666666667,-1.3684193333333332,-0.09979033333333331,0.16159999999999997
4,"(5, 4)",5,4,-0.758367,-1.8232253333333337,0.12657166666666675,0.10799999999999998
4,"(1, 2)",1,2,-0.8018096666666669,-0.04001933333333341,-0.12979033333333334,-0.31600000000000006
5,"(5, 1)",5,1,-0.5423670000000002,-0.7392253333333332,0.09657166666666661,-0.28600000000000003
5,"(1, 5)",1,5,-0.6602096666666667,-1.3684193333333332,-0.09979033333333331,0.16159999999999997
5,"(5, 4)",5,4,-0.758367,-1.8232253333333337,0.12657166666666675,0.10799999999999998
5,"(1, 2)",1,2,-0.8018096666666669,-0.04001933333333341,-0.12979033333333334,-0.31600000000000006
5,"(3, 3)",3,3,-0.9912693333333332,-0.8422613333333343,0.008330666666666736,-0.05799999999999972
6,"(5, 1)",5,1,-0.5423670000000002,-0.7392253333333332,0.09657166666666661,-0.28600000000000003
6,"(1, 5)",1,5,-0.6602096666666667,-1.3684193333333332,-0.09979033333333331,0.16159999999999997
6,"(5, 4)",5,4,-0.758367,-1.8232253333333337,0.12657166666666675,0.10799999999999998
6,"(1, 2)",1,2,-0.8018096666666669,-0.04001933333333341,-0.12979033333333334,-0.31600000000000006
6,"(3, 3)",3,3,-0.9912693333333332,-0.8422613333333343,0.008330666666666736,-0.05799999999999972
6,"(3, 4)",3,4,-0.9032693333333334,-1.3502613333333326,0.018330666666666606,0.09799999999999986
