step,e1,e2
1,1,1
2,1,25
3,25,25
4,25,1
5,25,25
6,25,25
7,25,25
8,25,25
9,25,25
10,25,25
11,25,25
12,25,25
13,25,25
14,25,25
15,25,25
16,25,25
17,25,25
18,25,25
19,25,25
20,25,25
21,25,25
22,25,25
23,25,25
24,25,25
25,25,25
26,25,25
27,25,25
28,25,25
29,25,25
30,25,25
31,25,25
32,25,25
33,25,25
34,25,25
35,25,25
36,25,25
37,25,25
38,25,25
39,25,25
40,25,25
41,25,25
42,25,25
43,25,25
44,25,25
45,25,25
46,25,25
47,25,25
48,25,25
49,25,25
50,25,25
51,25,25
52,25,25
53,25,25
54,25,25
55,25,25
56,25,25
57,25,25
58,25,25
59,25,25
60,25,25
61,25,25
62,25,25
63,25,25
64,25,25
65,25,25
66,25,25
67,25,25
68,25,25
69,25,25
70,25,25
71,25,25
72,25,25
73,25,25
74,25,25
75,25,25
76,25,25
77,25,25
78,25,25
79,25,25
80,25,25
81,25,25
82,25,25
83,25,25
84,25,25
85,25,25
86,25,25
87,25,25
88,25,25
89,25,25
90,25,25
91,25,25
92,25,25
93,25,25
94,25,25
95,25,25
96,25,25
97,25,25
98,25,25
99,25,25
100,25,25
101,25,25
102,25,25
103,25,25
104,25,25
105,25,25
106,25,25
107,25,25
108,25,25
109,25,25
110,25,25
111,25,25
112,25,25
113,25,25
114,25,25
115,25,25
116,25,25
117,25,25
118,25,25
119,25,25
120,25,25
121,25,25
122,25,25
123,25,25
124,25,25
125,25,25
126,25,25
127,25,25
128,25,25
129,25,25
130,25,25
131,25,25
132,25,25
133,25,25
134,25,25
135,25,25
136,25,25
137,25,25
138,25,25
139,25,25
140,25,25
141,25,25
142,25,25
143,25,25
144,25,25
145,25,25
146,25,25
147,25,25
148,25,25
149,25,25
150,25,25
151,25,25
152,25,25
153,25,25
154,25,25
155,25,25
156,25,25
157,25,25
158,25,25
159,25,25
160,25,25
161,25,25
162,25,25
163,25,25
164,25,25
165,25,25
166,25,25
167,25,25
168,25,25
169,25,25
170,25,25
171,25,25
172,25,25
173,25,25
174,25,25
175,25,25
176,25,25
177,25,25
178,25,25
179,25,25
180,25,25
181,25,25
182,25,25
183,25,25
184,25,25
185,25,25
186,25,25
187,25,25
188,25,25
189,25,25
190,25,25
191,25,25
192,25,25
193,25,25
194,25,25
195,25,25
196,25,25
197,25,25
198,25,25
199,25,25
200,25,25
201,25,25
202,25,25
203,25,25
204,25,25
205,25,25
206,25,25
207,25,25
208,25,25
209,25,25
210,25,25
211,25,25
212,25,25
213,25,25
214,25,25
215,25,25
216,25,25
217,25,25
218,25,25
219,25,25
220,25,25
221,25,25
222,25,25
223,25,25
224,25,25
225,25,25
226,25,25
227,25,25
228,25,25
229,25,25
230,25,25
231,25,25
232,25,25
233,25,25
234,25,25
235,25,25
236,25,25
237,25,25
238,25,25
239,25,25
240,25,25
241,25,25
242,25,25
243,25,25
244,25,25
245,25,25
246,25,25
247,25,25
248,25,25
249,25,25
250,25,25
251,25,25
252,25,25
253,25,25
254,25,25
255,25,25
256,25,25
257,25,25
258,25,25
259,25,25
260,25,25
261,25,25
262,25,25
263,25,25
264,25,25
265,25,25
266,25,25
267,25,25
268,25,25
269,25,25
270,25,25
271,25,25
272,25,25
273,25,25
274,25,25
275,25,25
276,25,25
277,25,25
278,25,25
279,25,25
280,25,25
281,25,25
282,25,25
283,25,25
284,25,25
285,25,25
286,25,25
287,25,25
288,25,25
289,25,25
290,25,25
291,25,25
292,25,25
293,25,25
294,25,25
295,25,25
296,25,25
297,25,25
298,25,25
299,25,25
300,25,25
301,25,25
302,25,25
303,25,25
304,25,25
305,25,25
306,25,25
307,25,25
308,25,25
309,25,25
310,25,25
311,25,25
312,25,25
313,25,25
314,25,25
315,25,25
316,25,25
317,25,25
318,25,25
319,25,25
320,25,25
321,25,25
322,25,25
323,25,25
324,25,25
325,25,25
326,25,25
327,25,25
328,25,25
329,25,25
330,25,25
331,25,25
332,25,25
333,25,25
334,25,25
335,25,25
336,25,25
337,25,25
338,25,25
339,25,25
340,25,25
341,25,25
342,25,25
343,25,25
344,25,25
345,25,25
346,25,25
347,25,25
348,25,25
349,25,25
350,25,25
351,25,25
352,25,25
353,25,25
354,25,25
355,25,25
356,25,25
357,25,25
358,25,25
359,25,25
360,25,25
361,25,25
362,25,25
363,25,25
364,25,25
365,25,25
366,25,25
367,25,25
368,25,25
369,25,25
370,25,25
371,25,25
372,25,25
373,25,25
374,25,25
375,25,25
376,25,25
377,25,25
378,25,25
379,25,25
380,25,25
381,25,25
382,25,25
383,25,25
384,25,25
385,25,25
386,25,25
387,25,25
388,25,25
389,25,25
390,25,25
391,25,25
392,25,25
393,25,25
394,25,25
395,25,25
396,25,25
397,25,25
398,25,25
399,25,25
400,25,25
401,25,25
402,25,25
403,25,25
404,25,25
405,25,25
406,25,25
407,25,25
408,25,25
409,25,25
410,25,25
411,25,25
412,25,25
413,25,25
414,25,25
415,25,25
416,25,25
417,25,25
418,25,25
419,25,25
420,25,25
421,25,25
422,25,25
423,25,25
424,25,25
425,25,25
426,25,25
427,25,25
428,25,25
429,25,25
430,25,25
431,25,25
432,25,25
433,25,25
434,25,25
435,25,25
436,25,25
437,25,25
438,25,25
439,25,25
440,25,25
441,25,25
442,25,25
443,25,25
444,25,25
445,25,25
446,25,25
447,25,25
448,25,25
449,25,25
450,25,25
451,25,25
452,25,25
453,25,25
454,25,25
455,25,25
456,25,25
457,25,25
458,25,25
459,25,25
460,25,25
461,25,25
462,25,25
463,25,25
464,25,25
465,25,25
466,25,25
467,25,25
468,25,25
469,25,25
470,25,25
471,25,25
472,25,25
473,25,25
474,25,25
475,25,25
476,25,25
477,25,25
478,25,25
479,25,25
480,25,25
481,25,25
482,25,25
483,25,25
484,25,25
485,25,25
486,25,25
487,25,25
488,25,25
489,25,25
490,25,25
491,25,25
492,25,25
493,25,25
494,25,25
495,25,25
496,25,25
497,25,25
498,25,25
499,25,25
500,25,25
501,25,25
502,25,25
503,25,25
504,25,25
505,25,25
506,25,25
507,25,25
508,25,25
509,25,25
510,25,25
511,25,25
512,25,25
513,25,25
514,25,25
515,25,25
516,25,25
517,25,25
518,25,25
519,25,25
520,25,25
521,25,25
522,25,25
523,25,25
524,25,25
525,25,25
526,25,25
527,25,25
528,25,25
529,25,25
530,25,25
531,25,25
532,25,25
533,25,25
534,25,25
535,25,25
536,25,25
537,25,25
538,25,25
539,25,25
540,25,25
541,25,25
542,25,25
543,25,25
544,25,25
545,25,25
546,25,25
547,25,25
548,25,25
549,25,25
550,25,25
551,25,25
552,25,25
553,25,25
554,25,25
555,25,25
556,25,25
557,25,25
558,25,25
559,25,25
560,25,25
561,25,25
562,25,25
563,25,25
564,25,25
565,25,25
566,25,25
567,25,25
568,25,25
569,25,25
570,25,25
571,25,25
572,25,25
573,25,25
574,25,25
575,25,25
576,25,25
577,25,25
578,25,25
579,25,25
580,25,25
581,25,25
582,25,25
583,25,25
584,25,25
585,25,25
586,25,25
587,25,25
588,25,25
589,25,25
590,25,25
591,25,25
592,25,25
593,25,25
594,25,25
595,25,25
596,25,25
597,25,25
598,25,25
599,25,25
600,25,25
601,25,25
602,25,25
603,25,25
604,25,25
605,25,25
606,25,25
607,25,25
608,25,25
609,25,25
610,25,25
611,25,25
612,25,25
613,25,25
614,25,25
615,25,25
616,25,25
617,25,25
618,25,25
619,25,25
620,25,25
621,25,25
622,25,25
623,25,25
624,25,25
625,25,25
626,25,25
627,25,25
628,25,25
629,25,25
630,25,25
631,25,25
632,25,25
633,25,25
634,25,25
635,25,25
636,25,25
637,25,25
638,25,25
639,25,25
640,25,25
641,25,25
642,25,25
643,25,25
644,25,25
645,25,25
646,25,25
647,25,25
648,25,25
649,25,25
650,25,25
651,25,25
652,25,25
653,25,25
654,25,25
655,25,25
656,25,25
657,25,25
658,25,25
659,25,25
660,25,25
661,25,25
662,25,25
663,25,25
664,25,25
665,25,25
666,25,25
667,25,25
668,25,25
669,25,25
670,25,25
671,25,25
672,25,25
673,25,25
674,25,25
675,25,25
676,25,25
677,25,25
678,25,25
679,25,25
680,25,25
681,25,25
682,25,25
683,25,25
684,25,25
685,25,25
686,25,25
687,25,25
688,25,25
689,25,25
690,25,25
691,25,25
692,25,25
693,25,25
694,25,25
695,25,25
696,25,25
697,25,25
698,25,25
699,25,25
700,25,25
701,25,25
702,25,25
703,25,25
704,25,25
705,25,25
706,25,25
707,25,25
708,25,25
709,25,25
710,25,25
711,25,25
712,25,25
713,25,25
714,25,25
715,25,25
716,25,25
717,25,25
718,25,25
719,25,25
720,25,25
721,25,25
722,25,25
723,25,25
724,25,25
725,25,25
726,25,25
727,25,25
728,25,25
729,25,25
730,25,25
731,25,25
732,25,25
733,25,25
734,25,25
735,25,25
736,25,25
737,25,25
738,25,25
739,25,25
740,25,25
741,25,25
742,25,25
743,25,25
744,25,25
745,25,25
746,25,25
747,25,25
748,25,25
749,25,25
750,25,25
751,25,25
752,25,25
753,25,25
754,25,25
755,25,25
756,25,25
757,25,25
758,25,25
759,25,25
760,25,25
761,25,25
762,25,25
763,25,25
764,25,25
765,25,25
766,25,25
767,25,25
768,25,25
769,25,25
770,25,25
771,25,25
772,25,25
773,25,25
774,25,25
775,25,25
776,25,25
777,25,25
778,25,25
779,25,25
780,25,25
781,25,25
782,25,25
783,25,25
784,25,25
785,25,25
786,25,25
787,25,25
788,25,25
789,25,25
790,25,25
791,25,25
792,25,25
793,25,25
794,25,25
795,25,25
796,25,25
797,25,25
798,25,25
799,25,25
800,25,25
801,25,25
802,25,25
803,25,25
804,25,25
805,25,25
806,25,25
807,25,25
808,25,25
809,25,25
810,25,25
811,25,25
812,25,25
813,25,25
814,25,25
815,25,25
816,25,25
817,25,25
818,25,25
819,25,25
820,25,25
821,25,25
822,25,25
823,25,25
824,25,25
825,25,25
