model,instance,algorithm,algorithm_full,initial_point_key,starting_point,objective_value,wall_time_s,cpu_time_s,termination_condition,solver_status
column,NT17,LDBD,gdpopt.ldbd,1,"(13, 4)",19346.12471282314,31.598414671607316,31.59688726812601,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,2,"(13, 3)",19346.12471282314,22.15101585071534,22.14776544738561,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,3,"(12, 4)",19346.12471282314,43.39934236835688,43.39751611277461,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,4,"(14, 4)",19346.12471282314,34.86649646703154,34.86454500164837,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,5,"(13, 5)",19346.12471282314,58.401335924863815,58.39938249532133,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,6,"(12, 3)",19346.12471282314,49.09317070990801,49.09129689168185,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,7,"(14, 3)",19346.12471282314,22.558401107788086,22.55622743628919,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,8,"(12, 5)",19346.12471282314,45.851774763315916,45.84988079499453,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,9,"(14, 5)",19346.12471282314,55.61587198916823,55.61373749282211,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,10,"(13, 2)",19449.851511657434,22.407860946841538,22.4056833172217,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,11,"(11, 4)",19346.12471282314,46.31398843321949,46.31201846990734,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,12,"(15, 4)",19740.340832160357,14.733111751265824,14.731011418625712,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,13,"(13, 6)",19346.12471282314,53.765816076658666,53.76384701486677,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,14,"(12, 2)",19346.12471282314,59.99309132993221,59.9910457637161,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,15,"(14, 2)",19346.12471282314,33.29867579601705,33.296638345345855,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,16,"(11, 3)",19346.12471282314,54.7710246425122,54.76904194615781,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,17,"(15, 3)",19346.12471282314,27.65837791841477,27.656254432164133,optimal,ok
