model,instance,algorithm,algorithm_full,initial_point_key,starting_point,objective_value,wall_time_s,cpu_time_s,termination_condition,solver_status
column,NT17,LDSDA,gdpopt.ldsda,1,"(13, 4)",19346.12471282314,19.72761831060052,19.724802520126104,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,2,"(13, 3)",19346.12471282314,39.97131804563105,39.96876909490675,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,3,"(12, 4)",19346.12471282314,38.12656101305038,38.12399689480662,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,4,"(14, 4)",19346.12471282314,38.82138800341636,38.81885110400617,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,5,"(13, 5)",19346.12471282314,38.44945537485182,38.44703142158687,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,6,"(12, 3)",19346.12471282314,38.08633250463754,38.083982332609594,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,7,"(14, 3)",19346.12471282314,38.45632802974433,38.453811440616846,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,8,"(12, 5)",19346.12471282314,34.20165280625224,34.199219825677574,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,9,"(14, 5)",19346.12471282314,38.02196650672704,38.01924275048077,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,10,"(13, 2)",19346.12471282314,58.780212617479265,58.77757017780095,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,11,"(11, 4)",19346.12471282314,53.66869988385588,53.66467564739287,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,12,"(15, 4)",19346.12471282314,34.23023919481784,34.226712150499225,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,13,"(13, 6)",19346.12471282314,37.62817379459739,37.62554475013167,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,14,"(12, 2)",19346.12471282314,57.377690088935196,57.375109907239676,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,15,"(14, 2)",19346.12471282314,57.91285147052258,57.910154103301466,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,16,"(11, 3)",19346.12471282314,57.35597959347069,57.35330656543374,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,17,"(15, 3)",19346.12471282314,51.87213089875877,51.869400520808995,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,18,"(11, 5)",21360.45827130104,18.612975753843784,8.388783419504762,locallyOptimal,ok
