model,instance,algorithm,algorithm_full,initial_point_key,starting_point,objective_value,wall_time_s,cpu_time_s,termination_condition,solver_status
column,NT17,LDBD,gdpopt.ldbd,18,"(11, 5)",,1.033106692135334,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,19,"(15, 5)",19740.340832308204,25.558397978544235,25.556391746737063,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,20,"(12, 6)",,0.9159318413585424,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,21,"(14, 6)",,18.250212393701077,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,22,"(11, 2)",19346.12480109944,52.80830504279584,52.806493000127375,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,23,"(15, 2)",19346.12480109944,33.02751248329878,33.025396382436156,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,24,"(11, 6)",,0.9131681434810162,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,25,"(15, 6)",19740.340832308204,37.35097756795585,37.34892129711807,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,26,"(13, 1)",19449.851511967012,28.993104616180062,28.99129654187709,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,27,"(10, 4)",,0.9058506423607469,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,28,"(13, 7)",,0.9088169522583485,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,29,"(12, 1)",19346.12480109944,56.49098128732294,56.48904151376337,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,30,"(14, 1)",19449.851511967012,31.8548930240795,31.852021431550384,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,31,"(10, 3)",,2.4468538109213114,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,32,"(10, 5)",,0.9095489401370287,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,33,"(12, 7)",,0.9091448588296771,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,34,"(14, 7)",,2.385544336400926,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,35,"(11, 1)",19853.73216380374,24.46946515608579,24.467371276579797,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,36,"(15, 1)",19346.12480109944,39.79430381767452,39.79230553004891,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,37,"(10, 2)",19449.851511967012,43.35171314049512,43.34966200310737,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,38,"(10, 6)",,0.8918893160298467,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,39,"(11, 7)",,0.8855305062606931,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,40,"(15, 7)",,2.663070541806519,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,41,"(9, 4)",,2.0903174178674817,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,42,"(13, 8)",,0.8941046241670847,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,43,"(9, 3)",,0.8941825805231929,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,44,"(9, 5)",,2.171361120417714,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,45,"(12, 8)",,0.8891566330567002,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,46,"(14, 8)",,0.8982281181961298,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,47,"(10, 1)",19853.73216380374,35.894241601228714,35.892215511761606,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,48,"(10, 7)",,0.8880330137908459,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,49,"(9, 2)",,2.43104484397918,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,50,"(9, 6)",,0.8862494435161352,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,51,"(11, 8)",,0.8897657264024019,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,52,"(15, 8)",,2.157517404295504,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,53,"(9, 1)",,2.444895007647574,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,54,"(9, 7)",,0.8897656016051769,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,55,"(10, 8)",,0.9029811657965183,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,56,"(13, 9)",,0.8905938602983952,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,57,"(12, 9)",,0.9003384932875633,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,58,"(14, 9)",,0.8850984247401357,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,59,"(11, 9)",,0.8990210089832544,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,60,"(15, 9)",,3.522738914936781,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,61,"(9, 8)",,0.9005698133260012,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,62,"(10, 9)",,0.8814634988084435,,EXCEPTION,ERROR
column,NT17,LDBD,gdpopt.ldbd,63,"(9, 9)",,0.8906233925372362,,EXCEPTION,ERROR
