model,instance,algorithm,algorithm_full,initial_point_key,starting_point,objective_value,wall_time_s,cpu_time_s,termination_condition,solver_status
column,NT17,LDBD,gdpopt.ldbd,1,"(13, 4)",19346.12480109944,37.16721325367689,37.16528752539307,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,2,"(13, 3)",19346.12480109944,28.449387297034264,28.44728058297187,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,3,"(12, 4)",19346.12480109944,49.06792587134987,49.065846868790686,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,4,"(14, 4)",19346.12480109944,43.896934915333986,43.89535744301975,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,5,"(13, 5)",19346.12480109944,67.20132275484502,67.1993755158037,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,6,"(12, 3)",19346.12480109944,56.51525681745261,56.51310322154313,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,7,"(14, 3)",19346.12480109944,29.28680852241814,29.284772383980453,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,8,"(12, 5)",19346.12480109944,53.81119974050671,53.80890333186835,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,9,"(14, 5)",19346.12480109944,65.19065972510725,65.1884249933064,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,10,"(13, 2)",19449.851511967012,29.34414891898632,29.341972330585122,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,11,"(11, 4)",19346.12480109944,53.74771409481764,53.74501759838313,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,12,"(15, 4)",19740.340832308204,19.967995391227305,19.966549411416054,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,13,"(13, 6)",19346.12480109944,59.85282058920711,59.85071244183928,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,14,"(12, 2)",19346.12480109944,68.53378021344543,68.53158467821777,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,15,"(14, 2)",19346.12480109944,41.995155196636915,41.99290360324085,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,16,"(11, 3)",19346.12480109944,65.12530412431806,65.1230424232781,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,17,"(15, 3)",19346.12480109944,33.07354753743857,33.07159047015011,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,18,"(11, 5)",19346.12480109944,62.847521795891225,62.84534402471036,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,19,"(15, 5)",19740.340832308204,28.324714168906212,28.322469679638743,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,20,"(12, 6)",19346.12480109944,57.82644762843847,57.82397786807269,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,21,"(14, 6)",19346.12480109944,68.19784377515316,68.19576332066208,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,22,"(11, 2)",19346.12480109944,57.617273231968284,57.614893613383174,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,23,"(15, 2)",19346.12480109944,35.838627491146326,35.83654394932091,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,24,"(11, 6)",19346.12480109944,73.26426036190242,73.26199497282505,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,25,"(15, 6)",19740.340832308204,40.93580756243318,40.933458583429456,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,26,"(13, 1)",19449.851511967012,30.40504030045122,30.402522929012775,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,27,"(10, 4)",19853.73216380374,29.67367092706263,29.67068856395781,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,28,"(13, 7)",19346.12480109944,66.7206413205713,66.71840014774352,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,29,"(12, 1)",19346.12480109944,61.16886415053159,61.16681649629027,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,30,"(14, 1)",19449.851511967012,33.50343020353466,33.50024839770049,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,31,"(10, 3)",19548.719331288536,32.628847159445286,32.626001006923616,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,32,"(10, 5)",19346.12480109944,51.62810611445457,51.625752666033804,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,33,"(12, 7)",19346.12480109944,69.79510004725307,69.79280731640756,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,34,"(14, 7)",19853.73216380374,32.243721559643745,32.241331472061574,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,35,"(11, 1)",19853.73216380374,25.81709201913327,25.814876935444772,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,36,"(15, 1)",19346.12480109944,40.63487275969237,40.63204546365887,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,37,"(10, 2)",19449.851511967012,49.0096046673134,49.00660084281117,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,38,"(10, 6)",19346.12480109944,79.29591110814363,79.29323145467788,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,39,"(11, 7)",19346.12480109944,81.0627079224214,81.06169334892184,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,40,"(15, 7)",19346.12480109944,59.70520761795342,59.704120946116745,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,41,"(9, 4)",19548.719331288536,28.49931960552931,28.49819938931614,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,42,"(13, 8)",19346.12480109944,87.56160895526409,87.56021453626454,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,43,"(9, 3)",19548.719331288536,31.71896401885897,31.71786637790501,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,44,"(9, 5)",19346.12480109944,72.60032807197422,72.5993140283972,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,45,"(12, 8)",19346.12480109944,81.85200575832278,81.8509406382218,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,46,"(14, 8)",19346.12480109944,75.22739039827138,75.22632313612849,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,47,"(10, 1)",19853.73216380374,41.55031088646501,41.54921018797904,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,48,"(10, 7)",19346.12480109944,74.77678867708892,74.77573473844677,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,49,"(9, 2)",19346.12480109944,70.20532464049757,70.20418730285019,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,50,"(9, 6)",19346.12480109944,81.67164626531303,81.67062133178115,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,51,"(11, 8)",19346.12480109944,69.20119137689471,69.20011355169117,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,52,"(15, 8)",19346.12480109944,71.40699657890946,71.4058801708743,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,53,"(9, 1)",,3.4403279926627874,3.439311674796045,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,54,"(9, 7)",19346.12480109944,73.13414831925184,73.13266060966998,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,55,"(10, 8)",19346.12480109944,61.58847333211452,61.58733604289591,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,56,"(13, 9)",19346.12480109944,64.1948670623824,64.19329603295773,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,57,"(12, 9)",19346.12480109944,69.22788669168949,69.22629235871136,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,58,"(14, 9)",19346.12480109944,75.10931389499456,75.1082562385127,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,59,"(11, 9)",19346.12480109944,69.9714094819501,69.97032644599676,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,60,"(15, 9)",19346.12480109944,75.4599524801597,75.4588337475434,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,61,"(9, 8)",19346.12480109944,67.69308903440833,67.69147854018956,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,62,"(10, 9)",19346.12480109944,69.1075333468616,69.10640605632216,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,63,"(9, 9)",,1.681022185832262,1.6801185952499509,optimal,ok
