model,instance,algorithm,algorithm_full,initial_point_key,starting_point,objective_value,wall_time_s,cpu_time_s,termination_condition,solver_status
column,NT17,LDBD,gdpopt.ldbd,1,"(13, 4)",19346.12480109944,72.0816726591438,72.0797759545967,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,2,"(13, 3)",19346.12480109944,66.6550563024357,66.65304268337786,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,3,"(12, 4)",19346.12480109944,79.42638829350471,79.42436270974576,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,4,"(14, 4)",19346.12480109944,80.62232900969684,80.62031104136258,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,5,"(13, 5)",19346.12480109944,97.718501358293,97.71642344538122,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,6,"(12, 3)",19346.12480109944,91.32589261513203,91.32384096365422,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,7,"(14, 3)",19346.12480109944,69.14136073831469,69.13944994658232,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,8,"(12, 5)",19346.12480109944,92.03480964060873,92.03293934464455,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,9,"(14, 5)",19346.12480109944,99.18786823749542,99.18569630384445,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,10,"(13, 2)",19449.851511967012,68.88844403158873,68.88629504293203,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,11,"(11, 4)",19346.12480109944,91.16557875927538,91.16363340150565,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,12,"(15, 4)",19740.340832308204,45.53205835446715,45.530031779780984,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,13,"(13, 6)",19346.12480109944,97.91984184086323,97.91795352101326,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,14,"(12, 2)",19346.12480109944,103.8956408817321,103.89424505550414,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,15,"(14, 2)",19346.12480109944,81.70474134478718,81.7026020437479,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,16,"(11, 3)",19346.12480109944,94.2465905053541,94.24473101086915,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,17,"(15, 3)",19346.12480109944,61.306292288936675,61.3041269890964,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,18,"(11, 5)",19346.12480109944,90.6161563359201,90.61472331080586,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,19,"(15, 5)",19740.340832308204,51.09985972940922,51.09782445803285,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,20,"(12, 6)",19346.12480109944,90.77898038178682,90.77682055253536,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,21,"(14, 6)",19346.12480109944,101.51161937881261,101.50938989594579,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,22,"(11, 2)",19346.12480109944,90.96537562739104,90.96337015461177,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,23,"(15, 2)",19346.12480109944,61.98252075724304,61.98038979340345,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,24,"(11, 6)",19346.12480109944,88.68937040492892,88.68731414433569,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,25,"(15, 6)",19740.340832308204,65.47488722018898,65.47355232201517,optimal,ok
