model,instance,algorithm,algorithm_full,initial_point_key,starting_point,objective_value,wall_time_s,cpu_time_s,termination_condition,solver_status
column,NT17,LDSDA,gdpopt.ldsda,1,"(13, 4)",19346.12480109944,104.799132283777,104.79709027055651,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,2,"(13, 3)",19346.12480109944,121.58708139136434,121.58500076364726,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,3,"(12, 4)",19346.12480109944,110.32474360708147,110.32207799889147,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,4,"(14, 4)",19346.12480109944,135.65219962690026,135.65004430618137,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,5,"(13, 5)",19346.12480109944,130.2851438568905,130.28305763937533,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,6,"(12, 3)",19346.12480109944,117.27150077931583,117.26944645307958,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,7,"(14, 3)",19346.12480109944,140.25113753788173,140.2483242759481,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,8,"(12, 5)",19346.12480109944,133.13073277752846,133.12823977973312,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,9,"(14, 5)",19346.12480109944,170.87567210849375,170.87309820577502,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,10,"(13, 2)",19346.12480109944,123.80119264964014,123.79870582465082,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,11,"(11, 4)",19346.12480109944,125.92655424028635,125.923887941055,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,12,"(15, 4)",19346.12480109944,128.8014305178076,128.79847225919366,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,13,"(13, 6)",19346.12480109944,152.40975760761648,152.40756531618536,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,14,"(12, 2)",19346.12480109944,105.10137245245278,105.0993942534551,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,15,"(14, 2)",19346.12480109944,135.05601678043604,135.05340295098722,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,16,"(11, 3)",19346.12480109944,187.12285715155303,187.12009782344103,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,17,"(15, 3)",19346.12480109944,148.17276263982058,148.17001344263554,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,18,"(11, 5)",19346.12480109944,138.9283999018371,138.92645081598312,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,19,"(15, 5)",19346.12480109944,132.4782376512885,132.47555794660002,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,20,"(12, 6)",19346.12480109944,135.79440669808537,135.79207654390484,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,21,"(14, 6)",19346.12480109944,193.32404558733106,193.32110160589218,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,22,"(11, 2)",19346.12480109944,89.2344955811277,89.23175709415227,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,23,"(15, 2)",19346.12480109944,124.23030161298811,124.22810861933976,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,24,"(11, 6)",19346.12480109944,137.5459186770022,137.54298145882785,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,25,"(15, 6)",19346.12480109944,160.75771596748382,160.7548184050247,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,26,"(13, 1)",19346.12480109944,118.6874203402549,118.6843283334747,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,27,"(10, 4)",19346.12480109944,132.92294955905527,132.92005247808993,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,28,"(13, 7)",19346.12480109944,162.00375137012452,162.00110560003668,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,29,"(12, 1)",19346.12480109944,101.56788309849799,101.56512738764286,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,30,"(14, 1)",19346.12480109944,139.16144151613116,139.1587548777461,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,31,"(10, 3)",19346.12480109944,110.54740995448083,110.54460979811847,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,32,"(10, 5)",19346.12480109944,129.20649320725352,129.20388912782073,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,33,"(12, 7)",19346.12480109944,155.2011070419103,155.1980410469696,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,34,"(14, 7)",19346.12480109944,149.1605686582625,149.15778882149607,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,35,"(11, 1)",19346.12480109944,150.78964182268828,150.78676213417202,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,36,"(15, 1)",19346.12480109944,128.41193893179297,128.4091360513121,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,37,"(10, 2)",19346.12480109944,118.60931121371686,118.606598848477,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,38,"(10, 6)",,7.011405403725803,7.00928916875273,unknown,ok
column,NT17,LDSDA,gdpopt.ldsda,39,"(11, 7)",,7.09079687576741,7.088480505160987,unknown,ok
column,NT17,LDSDA,gdpopt.ldsda,40,"(15, 7)",19346.12480109944,133.9395487997681,133.93755153473467,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,41,"(9, 4)",19346.12480109944,114.43721452262253,114.43427803553641,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,42,"(13, 8)",19346.12480109944,148.56613455247134,148.56329591292888,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,43,"(9, 3)",19346.12480109944,155.9710636017844,155.96834938134998,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,44,"(9, 5)",,7.1045021172612906,7.102482056245208,unknown,ok
column,NT17,LDSDA,gdpopt.ldsda,45,"(12, 8)",,7.063126999884844,7.061022376641631,unknown,ok
column,NT17,LDSDA,gdpopt.ldsda,46,"(14, 8)",19346.12480109944,139.24211090430617,139.24006134737283,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,47,"(10, 1)",19346.12480109944,147.62943303678185,147.62715830747038,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,48,"(10, 7)",,7.028840187005699,7.026677964255214,unknown,ok
column,NT17,LDSDA,gdpopt.ldsda,49,"(9, 2)",19346.12480109944,150.36936140991747,150.36648574005812,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,50,"(9, 6)",,7.06297124736011,7.061130420304835,unknown,ok
column,NT17,LDSDA,gdpopt.ldsda,51,"(11, 8)",,6.9920170698314905,6.989940108731389,unknown,ok
column,NT17,LDSDA,gdpopt.ldsda,52,"(15, 8)",19346.12480109944,158.95949625596404,158.95739819668233,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,53,"(9, 1)",19346.12480109944,127.15077641699463,127.14865760877728,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,54,"(9, 7)",,6.987157824449241,6.985089170746505,unknown,ok
column,NT17,LDSDA,gdpopt.ldsda,55,"(10, 8)",,7.00650324486196,7.004302577115595,unknown,ok
column,NT17,LDSDA,gdpopt.ldsda,56,"(13, 9)",,6.953964902088046,6.951709580607712,unknown,ok
column,NT17,LDSDA,gdpopt.ldsda,57,"(12, 9)",,13.82845486421138,13.82493928167969,unknown,ok
column,NT17,LDSDA,gdpopt.ldsda,58,"(14, 9)",19346.12480109944,162.20923045556992,162.2070657927543,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,59,"(11, 9)",,7.023490575142205,7.021316570229828,unknown,ok
column,NT17,LDSDA,gdpopt.ldsda,60,"(15, 9)",,147.67730284202844,147.67503579892218,unknown,ok
column,NT17,LDSDA,gdpopt.ldsda,61,"(9, 8)",,14.331485610455275,14.329686884768307,unknown,ok
column,NT17,LDSDA,gdpopt.ldsda,62,"(10, 9)",,6.934192189015448,6.932281078770757,unknown,ok
column,NT17,LDSDA,gdpopt.ldsda,63,"(9, 9)",,6.966958633624017,6.964842562563717,unknown,ok
