model,instance,algorithm,algorithm_full,initial_point_key,starting_point,objective_value,wall_time_s,cpu_time_s,termination_condition,solver_status
column,NT17,LDBD,gdpopt.ldbd,1,"(13, 4)",19346.124748130627,32.874941458925605,32.87293849233538,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,2,"(13, 3)",19346.124748130627,23.2768839802593,23.27479716297239,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,3,"(12, 4)",19346.124748130627,46.29236332140863,46.29087221529335,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,4,"(14, 4)",19346.124748130627,37.01892588380724,37.01747418381274,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,5,"(13, 5)",19346.124748130627,63.943115094676614,63.941789544187486,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,6,"(12, 3)",19346.124748130627,53.32005929853767,53.31851684488356,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,7,"(14, 3)",19346.124748130627,24.31897017825395,24.31750664394349,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,8,"(12, 5)",19346.124748130627,50.49659892171621,50.494700144045055,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,9,"(14, 5)",19346.124748130627,62.195549165830016,62.1946437722072,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,10,"(13, 2)",19449.851511657434,23.521145286038518,23.520258738659322,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,11,"(11, 4)",19346.124748130627,51.52705085184425,51.52613109070808,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,12,"(15, 4)",19740.340832160357,17.10908134933561,17.108174711465836,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,13,"(13, 6)",19346.124748130627,58.21995266806334,58.21902074292302,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,14,"(12, 2)",19346.124748130627,66.67892038729042,66.67798373289406,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,15,"(14, 2)",19346.124748130627,35.34550444036722,35.34454002697021,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,16,"(11, 3)",19346.124748130627,61.563107398338616,61.56217813771218,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,17,"(15, 3)",19346.124748130627,29.286957654170692,29.285931577906013,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,18,"(11, 5)",19346.124748130627,58.85602715611458,58.85488460492343,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,19,"(15, 5)",19740.340832160357,25.535469436086714,25.534473807550967,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,20,"(12, 6)",19346.124748130627,54.283660212531686,54.28232755884528,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,21,"(14, 6)",19346.124748130627,65.05248046200722,65.0514866784215,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,22,"(11, 2)",19346.124748130627,55.42354604974389,55.42254162300378,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,23,"(15, 2)",19346.124748130627,29.304440676234663,29.303303486667573,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,24,"(11, 6)",19346.124748130627,71.97423453908414,71.97327777557075,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,25,"(15, 6)",19740.340832160357,37.284847708418965,37.28387259040028,optimal,ok
