model,instance,algorithm,algorithm_full,initial_point_key,starting_point,objective_value,wall_time_s,cpu_time_s,termination_condition,solver_status
column,NT17,LDSDA,gdpopt.ldsda,1,"(13, 4)",19346.124748130627,21.395229637622833,21.39259472116828,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,2,"(13, 3)",19346.124748130627,27.679064466618,27.675668641924858,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,3,"(12, 4)",19346.124748130627,26.63986999168992,26.637467751279473,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,4,"(14, 4)",19346.124748130627,28.034851384349167,28.031822483055294,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,5,"(13, 5)",19346.124748130627,26.658036759123206,26.65583484247327,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,6,"(12, 3)",19346.124748130627,32.80288572330028,32.80046458542347,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,7,"(14, 3)",19346.124748130627,33.06476892530918,33.06283367797732,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,8,"(12, 5)",19346.124748130627,28.962257063947618,28.959267436526716,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,9,"(14, 5)",19346.124748130627,33.19119290262461,33.190239355899394,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,10,"(13, 2)",19346.124748130627,42.38890356943011,42.387978287413716,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,11,"(11, 4)",19346.124748130627,39.586649756878614,39.585742339491844,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,12,"(15, 4)",19346.124748130627,28.835376142524183,28.834439197555184,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,13,"(13, 6)",19346.124748130627,31.728215787559748,31.72730511520058,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,14,"(12, 2)",19346.124748130627,40.603105266578496,40.60213400516659,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,15,"(14, 2)",19346.124748130627,39.96511237509549,39.96413964778185,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,16,"(11, 3)",19346.124748130627,40.88359048217535,40.88259094208479,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,17,"(15, 3)",19346.124748130627,33.99497330468148,33.99401461798698,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,18,"(11, 5)",19346.124748130627,35.83157037384808,35.83041443862021,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,19,"(15, 5)",19346.124748130627,38.59729819372296,38.596355565823615,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,20,"(12, 6)",19346.124748130627,37.42494739219546,37.42393215652555,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,21,"(14, 6)",19346.124748130627,44.350600745528936,44.34958864469081,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,22,"(11, 2)",19346.124748130627,40.6428646016866,40.64188518375158,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,23,"(15, 2)",19346.124748130627,34.37556657195091,34.374553239904344,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,24,"(11, 6)",19346.124748130627,26.866417858749628,26.865409767255187,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,25,"(15, 6)",19346.124748130627,34.419456945732236,34.41849636286497,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,26,"(13, 1)",19346.124748130627,45.594562850892544,45.593548885546625,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,27,"(10, 4)",19346.124748130627,49.36667001713067,49.36562812048942,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,28,"(13, 7)",19346.124748130627,48.36069364193827,48.35970048978925,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,29,"(12, 1)",19346.124748130627,38.98800412379205,38.98700933717191,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,30,"(14, 1)",19346.124748130627,46.10561597254127,46.10455853678286,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,31,"(10, 3)",19346.124748130627,46.373302998021245,46.37231365311891,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,32,"(10, 5)",19346.124748130627,39.19290557131171,39.191631278954446,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,33,"(12, 7)",19346.124748130627,40.448735606856644,40.4477555481717,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,34,"(14, 7)",19346.124748130627,48.334378557279706,48.33336455374956,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,35,"(11, 1)",19346.124748130627,38.81392480805516,38.81278055626899,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,36,"(15, 1)",19346.124748130627,36.86420506890863,36.86319415271282,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,37,"(10, 2)",19346.124748130627,48.9341795546934,48.933199064806104,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,38,"(10, 6)",19346.124748130627,100.68773259595037,100.68667537998408,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,39,"(11, 7)",,85.20374921709299,85.20293827261776,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,40,"(15, 7)",19346.124748130627,54.06482334341854,54.063774382695556,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,41,"(9, 4)",,66.13012938853353,66.12922812253237,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,42,"(13, 8)",19346.124748130627,53.28337339870632,53.28230347856879,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,43,"(9, 3)",19346.124748130627,51.488144845701754,51.48706320300698,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,44,"(9, 5)",,84.98917805496603,84.98832911904901,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,45,"(12, 8)",19346.124748130627,113.4781922865659,113.4771279077977,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,46,"(14, 8)",19346.124748130627,59.64100983738899,59.63996561616659,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,47,"(10, 1)",19346.124748130627,38.80906841531396,38.80747770704329,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,48,"(10, 7)",,46.13528956193477,46.134403322823346,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,49,"(9, 2)",19346.124748130627,66.41717908717692,66.41588031779975,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,50,"(9, 6)",,52.39540430996567,52.3940903916955,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,51,"(11, 8)",,57.95420160796493,57.95335378404707,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,52,"(15, 8)",19346.124748130627,46.741898749955,46.74078605696559,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,53,"(9, 1)",19346.124748130627,45.9631847506389,45.96160340029746,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,54,"(9, 7)",,77.80982244759798,77.80894954502583,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,55,"(10, 8)",19346.124748130627,109.050522566773,109.04937173053622,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,56,"(13, 9)",,91.7723528649658,91.77143764030188,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,57,"(12, 9)",,62.00458663702011,62.00319374911487,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,58,"(14, 9)",,70.80764314066619,70.806306399405,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,59,"(11, 9)",,84.30907854065299,84.30822507292032,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,60,"(15, 9)",,105.42409296985716,105.42321782186627,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,61,"(9, 8)",,48.54770598746836,48.54678237810731,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,62,"(10, 9)",,51.59362003393471,51.592690201476216,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,63,"(9, 9)",,78.90519482363015,78.90409655869007,locallyOptimal,ok
