model,instance,algorithm,algorithm_full,initial_point_key,starting_point,objective_value,wall_time_s,cpu_time_s,termination_condition,solver_status
column,NT17,LDSDA,gdpopt.ldsda,1,"(13, 4)",19346.124748130627,94.16927248146385,94.16719732806087,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,2,"(13, 3)",19346.124748130627,114.05944123957306,114.05744088813663,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,3,"(12, 4)",19346.124748130627,110.81504224427044,110.81410626973957,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,4,"(14, 4)",19346.124748130627,133.3131506582722,133.31216340884566,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,5,"(13, 5)",19346.124748130627,124.17864043731242,124.17764676176012,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,6,"(12, 3)",19346.124748130627,111.70121252257377,111.70025545917451,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,7,"(14, 3)",19346.124748130627,131.68453729711473,131.68356071505696,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,8,"(12, 5)",19346.124748130627,128.85710922069848,128.85614342894405,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,9,"(14, 5)",19346.124748130627,167.42756084818393,167.4266441296786,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,10,"(13, 2)",19346.124748130627,116.44042268861085,116.43945257924497,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,11,"(11, 4)",19346.124748130627,120.93661510758102,120.93566264212132,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,12,"(15, 4)",19346.124748130627,122.88984072767198,122.88887455500662,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,13,"(13, 6)",19346.124748130627,153.34046629816294,153.3394980924204,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,14,"(12, 2)",19346.124748130627,99.9258025791496,99.9248468382284,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,15,"(14, 2)",19346.124748130627,126.82177786715329,126.82082289736718,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,16,"(11, 3)",19346.124748130627,217.15385108813643,217.15289048664272,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,17,"(15, 3)",19346.124748130627,159.22246358264238,159.22108210623264,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,18,"(11, 5)",19346.124748130627,162.51790486462414,162.51692895498127,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,19,"(15, 5)",19346.124748130627,126.22075128182769,126.21971638780087,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,20,"(12, 6)",19346.124748130627,133.6356207355857,133.6345800422132,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,21,"(14, 6)",19346.124748130627,185.0495827794075,185.04854954779148,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,22,"(11, 2)",19346.124748130627,96.6543335095048,96.65283551905304,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,23,"(15, 2)",19346.124748130627,119.92567661870271,119.92448939196765,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,24,"(11, 6)",19346.124748130627,130.22991854138672,130.22888839710504,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,25,"(15, 6)",19346.124748130627,160.85828882921487,160.8572416929528,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,26,"(13, 1)",19346.124748130627,108.98811905551702,108.98701294697821,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,27,"(10, 4)",19346.124748130627,134.47635662648827,134.47475213184953,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,28,"(13, 7)",19346.124748130627,160.48984567075968,160.48874658346176,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,29,"(12, 1)",19346.124748130627,100.67764945607632,100.67600662726909,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,30,"(14, 1)",19346.124748130627,127.21382088586688,127.21269402559847,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,31,"(10, 3)",19346.124748130627,115.61647244915366,115.61530041415244,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,32,"(10, 5)",19346.124748130627,128.42075507342815,128.4196143373847,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,33,"(12, 7)",19346.124748130627,158.42943826504052,158.42829693760723,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,34,"(14, 7)",19346.124748130627,143.05905878543854,143.0578896459192,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,35,"(11, 1)",19346.124748130627,146.22016570717096,146.21901805698872,locallyOptimal,ok
