model,instance,algorithm,algorithm_full,initial_point_key,starting_point,objective_value,wall_time_s,cpu_time_s,termination_condition,solver_status
column,NT17,LDBD,gdpopt.ldbd,1,"(13, 4)",19346.12480109944,37.310968516394496,37.30916060414165,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,2,"(13, 3)",19346.12480109944,29.26911088079214,29.267362153157592,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,3,"(12, 4)",19346.12480109944,50.153714624233544,50.15214945655316,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,4,"(14, 4)",19346.12480109944,44.90237818378955,44.90035053808242,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,5,"(13, 5)",19346.12480109944,68.11071010865271,68.10875082574785,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,6,"(12, 3)",19346.12480109944,57.30439699999988,57.30243733525276,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,7,"(14, 3)",19346.12480109944,29.725207272917032,29.723164670169353,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,8,"(12, 5)",19346.12480109944,53.02302844915539,53.02100688312203,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,9,"(14, 5)",19346.12480109944,67.43727676570415,67.43505019973963,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,10,"(13, 2)",19449.851511967012,29.76651607360691,29.76494969241321,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,11,"(11, 4)",19346.12480109944,54.37876417301595,54.37718100938946,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,12,"(15, 4)",19740.340832308204,20.499732675030828,20.498171574436128,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,13,"(13, 6)",19346.12480109944,60.26202674396336,60.25995914172381,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,14,"(12, 2)",19346.12480109944,69.04382936097682,69.04194140341133,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,15,"(14, 2)",19346.12480109944,42.01062847021967,42.008515732362866,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,16,"(11, 3)",19346.12480109944,65.42542930040509,65.42332069948316,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,17,"(15, 3)",19346.12480109944,33.8402661383152,33.838152579031885,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,18,"(11, 5)",19346.12480109944,63.634740496985614,63.63244649209082,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,19,"(15, 5)",19740.340832308204,28.89128329884261,28.88984787929803,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,20,"(12, 6)",19346.12480109944,58.675316551700234,58.673773034475744,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,21,"(14, 6)",19346.12480109944,69.2512138793245,69.24928899109364,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,22,"(11, 2)",19346.12480109944,58.645627531223,58.64412963297218,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,23,"(15, 2)",19346.12480109944,36.44846039172262,36.44701347965747,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,24,"(11, 6)",19346.12480109944,72.51749136205763,72.51525885425508,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,25,"(15, 6)",19740.340832308204,39.20228221733123,39.20068278256804,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,26,"(13, 1)",19449.851511967012,31.93892441969365,31.936660652048886,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,27,"(10, 4)",19853.73216380374,30.500283997505903,30.49865328334272,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,28,"(13, 7)",19346.12480109944,67.73272412456572,67.73131552711129,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,29,"(12, 1)",19346.12480109944,60.054852987639606,60.05267078615725,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,30,"(14, 1)",19449.851511967012,36.10878923442215,36.10633403155953,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,31,"(10, 3)",19548.719331288536,32.61377744842321,32.61217575147748,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,32,"(10, 5)",19346.12480109944,51.42923512682319,51.42709874548018,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,33,"(12, 7)",19346.12480109944,71.11943934764713,71.11799972038716,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,34,"(14, 7)",19853.73216380374,33.945928229019046,33.944371888414025,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,35,"(11, 1)",19853.73216380374,29.371972986496985,29.36977448500693,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,36,"(15, 1)",19346.12480109944,44.10853468161076,44.10711091384292,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,37,"(10, 2)",19449.851511967012,49.835623083636165,49.83417188376188,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,38,"(10, 6)",19346.12480109944,81.25939343310893,81.2566523309797,optimal,ok
