model,instance,algorithm,algorithm_full,initial_point_key,starting_point,objective_value,wall_time_s,cpu_time_s,termination_condition,solver_status
column,NT17,LDSDA,gdpopt.ldsda,1,"(13, 4)",19346.12480109944,23.765560364350677,23.76393241621554,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,2,"(13, 3)",19346.12480109944,33.01739985216409,33.01500322390348,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,3,"(12, 4)",19346.12480109944,28.65548638999462,28.652955784462392,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,4,"(14, 4)",19346.12480109944,30.992879973724484,30.989505250006914,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,5,"(13, 5)",19346.12480109944,29.161032679490745,29.158837044611573,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,6,"(12, 3)",19346.12480109944,36.06589285470545,36.06336842849851,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,7,"(14, 3)",19346.12480109944,38.25021109264344,38.2481899401173,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,8,"(12, 5)",19346.12480109944,30.36587665975094,30.36356871854514,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,9,"(14, 5)",19346.12480109944,35.659819821827114,35.65715520642698,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,10,"(13, 2)",19346.12480109944,48.65773636195809,48.65505587682128,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,11,"(11, 4)",19346.12480109944,41.950833063572645,41.94835421536118,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,12,"(15, 4)",19346.12480109944,31.28736560139805,31.28511376772076,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,13,"(13, 6)",19346.12480109944,33.00324530899525,33.001832662150264,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,14,"(12, 2)",19346.12480109944,44.44368815422058,44.44090252742171,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,15,"(14, 2)",19346.12480109944,48.709141911007464,48.70626294519752,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,16,"(11, 3)",19346.12480109944,41.86196440644562,41.85922629199922,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,17,"(15, 3)",19346.12480109944,37.705892401747406,37.703397803008556,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,18,"(11, 5)",19346.12480109944,40.64375623781234,40.641383091919124,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,19,"(15, 5)",19346.12480109944,43.82832260709256,43.825148235075176,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,20,"(12, 6)",19346.12480109944,38.88542317785323,38.8838653145358,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,21,"(14, 6)",19346.12480109944,44.89115615747869,44.888453118503094,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,22,"(11, 2)",19346.12480109944,40.65101029723883,40.648367202840745,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,23,"(15, 2)",19346.12480109944,36.644455295056105,36.64247673470527,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,24,"(11, 6)",19346.12480109944,30.994270330294967,30.992797047831118,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,25,"(15, 6)",19346.12480109944,36.88498932123184,36.882313936948776,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,26,"(13, 1)",19346.12480109944,50.4395155813545,50.436779289506376,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,27,"(10, 4)",19346.12480109944,50.073925230652094,50.07159940339625,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,28,"(13, 7)",19346.12480109944,53.96485042478889,53.96249946206808,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,29,"(12, 1)",19346.12480109944,44.69087285641581,44.68894248921424,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,30,"(14, 1)",19346.12480109944,51.643578635528684,51.64133795443922,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,31,"(10, 3)",19346.12480109944,44.67357049975544,44.67059379816055,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,32,"(10, 5)",19346.12480109944,41.226481242105365,41.22459124028683,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,33,"(12, 7)",19346.12480109944,42.80937974713743,42.808008689433336,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,34,"(14, 7)",19346.12480109944,47.236522229388356,47.23445760458708,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,35,"(11, 1)",19346.12480109944,43.57504345010966,43.572729766368866,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,36,"(15, 1)",19346.12480109944,40.59052180219442,40.5883994968608,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,37,"(10, 2)",19346.12480109944,45.25343688484281,45.25142007134855,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,38,"(10, 6)",19346.12480109944,99.14134641550481,99.13888369686902,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,39,"(11, 7)",,86.06715148780495,86.06578641291708,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,40,"(15, 7)",19346.12480109944,44.039675923995674,44.03762235958129,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,41,"(9, 4)",,62.79132194630802,62.79017752315849,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,42,"(13, 8)",19346.12480109944,49.068183212541044,49.065920839086175,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,43,"(9, 3)",19346.12480109944,56.43229157105088,56.43008136656135,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,44,"(9, 5)",,84.96627386752516,84.96503095515072,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,45,"(12, 8)",19346.12480109944,112.09138237219304,112.08976448141038,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,46,"(14, 8)",19346.12480109944,60.096153321675956,60.094650108367205,locallyOptimal,ok
