model,instance,algorithm,algorithm_full,initial_point_key,starting_point,objective_value,wall_time_s,cpu_time_s,termination_condition,solver_status
column,NT17,LDBD,gdpopt.ldbd,1,"(13, 4)",19346.124748130627,33.59364516381174,33.5919207027182,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,2,"(13, 3)",19346.124748130627,23.652354245074093,23.650296634994447,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,3,"(12, 4)",19346.124748130627,47.35053441487253,47.34857140481472,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,4,"(14, 4)",19346.124748130627,37.62005862686783,37.61821909341961,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,5,"(13, 5)",19346.124748130627,64.70648037083447,64.70441587548703,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,6,"(12, 3)",19346.124748130627,54.00512398593128,54.003100307658315,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,7,"(14, 3)",19346.124748130627,23.700458626262844,23.69842697493732,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,8,"(12, 5)",19346.124748130627,50.65463631693274,50.65255726315081,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,9,"(14, 5)",19346.124748130627,61.428506622090936,61.42629005666822,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,10,"(13, 2)",19449.851511657434,23.7891756137833,23.7871036529541,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,11,"(11, 4)",19346.124748130627,52.04271361324936,52.04068121034652,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,12,"(15, 4)",19740.340832160357,18.552679324522614,18.550613846629858,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,13,"(13, 6)",19346.124748130627,58.07861177343875,58.07647804636508,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,14,"(12, 2)",19346.124748130627,66.60918798204511,66.60708902031183,optimal,ok
column,NT17,LDBD,gdpopt.ldbd,15,"(14, 2)",19346.124748130627,35.46367458533496,35.46156006399542,optimal,ok
