model,instance,algorithm,algorithm_full,initial_point_key,starting_point,objective_value,wall_time_s,cpu_time_s,termination_condition,solver_status
column,NT17,LDSDA,gdpopt.ldsda,1,"(13, 4)",19346.124748130627,21.803999294526875,21.80196666251868,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,2,"(13, 3)",19346.124748130627,28.373545482754707,28.37122806534171,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,3,"(12, 4)",19346.124748130627,27.15020800102502,27.147900360636413,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,4,"(14, 4)",19346.124748130627,28.48772869631648,28.48558961879462,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,5,"(13, 5)",19346.124748130627,27.35679093748331,27.35416605696082,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,6,"(12, 3)",19346.124748130627,33.4237015619874,33.42165781650692,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,7,"(14, 3)",19346.124748130627,33.67866695858538,33.675899476744235,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,8,"(12, 5)",19346.124748130627,29.083164369687438,29.080442246049643,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,9,"(14, 5)",19346.124748130627,33.496993923559785,33.494329386390746,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,10,"(13, 2)",19346.124748130627,42.631478134542704,42.62961767986417,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,11,"(11, 4)",19346.124748130627,40.08070580661297,40.078041123226285,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,12,"(15, 4)",19346.124748130627,31.044214483350515,31.04130416829139,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,13,"(13, 6)",19346.124748130627,34.334400083869696,34.33187568653375,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,14,"(12, 2)",19346.124748130627,41.26149284467101,41.25889134127647,locallyOptimal,ok
column,NT17,LDSDA,gdpopt.ldsda,15,"(14, 2)",19346.124748130627,40.192214569076896,40.18956499453634,locallyOptimal,ok
